GRB,EP,Instrument,RA_deg,Dec_deg,Error_deg,po_CircularID,TriggerDate,TriggerTime,time_CircularID,T90_s,T90_err_s,T90_CircularID,GRBType,CircularID,EnergyBand,redshift,Comment,CircularType
GRB 251230A,EP251230a,EP/WXT,179.8974,11.4382,0.0027777777777777,43272.0,2025-12-30,01:21:31,43272.0,72.0,,43272.0,,"43279, 43272, 43259, 43269, 43255, 43271",,"<2.2, 1.73",,"Detection, Gamma-ray, X-ray, Optical, Redshift, Upper Limit, Observation; Detection, Refined Localization, Gamma-ray, X-ray, Optical, Spectroscopy, Observation; Detection, Localization, X-ray, Optical, Observation; Detection, Optical, Redshift, Upper Limit, Observation; Detection, Localization, Gamma-ray, X-ray, Optical, Redshift"
GRB 251222A,EP251222b,EP/WXT,77.1954,-7.2139,0.0027777777777777,43215.0,2025-12-22,17:05:34,43201.0,350.0,,43215.0,L,"43204, 43212, 43236, 43215, 43201, 43273, 43230, 43226, 43222",10-1000 keV,3.171,,"Detection, Gamma-ray, X-ray, Optical, Infrared, Spectroscopy, Redshift, Observation; Detection, Gamma-ray, X-ray, Optical, Redshift, Observation; Detection, Localization, Gamma-ray, X-ray, Optical, Infrared, Redshift, Observation; Detection, Refined Localization, X-ray, Spectroscopy, Observation; Detection, Localization, X-ray, Observation; Detection, Gamma-ray, Optical, Redshift, Observation; Detection, Localization, Gamma-ray, X-ray, Spectroscopy, Timing, Redshift, Observation"
GRB 251214B,,,,,,43103.0,2025-12-14,,43103.0,,,,L,"43103, 43123",,"0.7, 0.709",,"Detection, Localization, Gamma-ray, Optical, Redshift, Host Galaxy, Observation; Detection, Gamma-ray, X-ray, Optical, Redshift, Host Galaxy, Observation"
GRB 251214A,EP251214a,EP/WXT,148.471,21.053,0.0516666666666666,43087.0,2025-12-14,02:27:01,43087.0,3043.0,,43087.0,,43087,,,,"Detection, Localization, Gamma-ray, X-ray, Optical, Spectroscopy, Observation"
GRB 251205A,,,,,,43020.0,2025-12-05,,43020.0,,,,,"43020, 43008",,"1.1, 0.25",,"Detection, Localization, X-ray, Optical, Redshift; Detection, Localization, Optical, Redshift, Observation"
GRB 251202A,EP251202a,EP/WXT,122.121,40.6,0.05,42937.0,2025-12-02,01:48:23.900000,42946.0,400.0,,42946.0,,"42937, 42999, 42946, 42939, 42948, 42957, 42943",10-1000 keV,2.785,,"Detection, Localization, Gamma-ray, X-ray, Optical, Observation; Detection, Gamma-ray, X-ray, Optical, Redshift, Observation; Detection, Refined Localization, X-ray, Spectroscopy, Observation; Detection, Gamma-ray, X-ray, Optical, Spectroscopy, Redshift, Observation; Detection, Localization, Gamma-ray, X-ray, Optical, Spectroscopy, Timing, Redshift, Observation; Detection, Localization, X-ray, Optical, Spectroscopy, Redshift, Observation"
GRB 251201B,,,,1.871,,42994.0,2025-12-01,,42994.0,,,,,42994,,<2,,"Detection, Optical, Spectroscopy, Redshift, Upper Limit, Observation"
GRB 251129A,EP251129a,EP/WXT,224.294,79.301,0.05,42884.0,2025-11-29,03:14:23,42884.0,,,,,"42900, 42884, 43249",,"1.46, 0.505","z = 0.505 (#43249), not z = 1.460 (#42900)","Detection, Gamma-ray, Optical, Spectroscopy, Redshift, Observation; Detection, Localization, X-ray, Optical, Observation; Detection, Optical, Spectroscopy, Redshift, Host Galaxy, Observation"
GRB 251126A,,,,,,42871.0,2025-11-26,,42871.0,,,,,"42871, 42863, 42855",,"3.6, 3.5",,"Detection, Optical, Spectroscopy, Redshift, Observation; Detection, Gamma-ray, Optical, Redshift"
GRB 251125B,,,,,,42842.0,2025-11-25,,42842.0,,,,,42842,,<3,,"Detection, Gamma-ray, Optical, Redshift, Upper Limit, Observation"
GRB 251122A,EP251122a,EP/WXT,38.022,14.1283,0.0027777777777777,42808.0,2025-11-22,13:53:43,42808.0,10.0,,42808.0,L,"42803, 42808, 43490, 42799",,"1.113, 1.765","spectroscopic z = 1.765 (#43490), photometric z = 1.113 ± 0.368 (#42803)","Detection, Localization, X-ray, Optical, Redshift, Observation; Detection, Refined Localization, Gamma-ray, X-ray, Optical, Spectroscopy, Observation; Detection, Localization, Optical, Infrared, Spectroscopy, Redshift, Host Galaxy, Upper Limit, Observation; Detection, Localization, X-ray, Observation"
GRB 251118C,EP251118a,EP/WXT,123.16,10.952,0.0311666666666666,42749.0,2025-11-18,16:42:29,42749.0,,,,L,"43056, 42773, 42798, 42749, 42756, 42780",,"1.217, 1.216, <2",,"Detection, Gamma-ray, Optical, Redshift, Observation; Detection, Gamma-ray, X-ray, Optical, Infrared, Timing, Redshift, Observation; Detection, X-ray, Optical, Redshift, Observation; Detection, Localization, X-ray, Spectroscopy, Observation; Detection, Optical, Spectroscopy, Redshift, Observation"
GRB 251103A,,,,,,42540.0,2025-11-03,,42540.0,,,,,42540,,0.76,,"Detection, Gamma-ray, Optical, Spectroscopy, Redshift, Observation"
GRB 251026B,,,133.2284,-6.25815,,42470.0,2025-10-26,,42470.0,,,,S,42470,,0.055,,"Detection, Localization, Gamma-ray, Optical, Redshift, Upper Limit, Observation"
GRB 251026A,EP251026a,EP/WXT,72.663,51.775,0.035,42482.0,2025-10-26,08:26:33,42482.0,500.0,,42482.0,,42482,,,,"Detection, Localization, X-ray, Spectroscopy, Observation"
GRB 251025B,,,,,,42472.0,2025-10-25,,42472.0,,,,,42472,,2.003,,"Detection, Gamma-ray, Optical, Spectroscopy, Redshift, Host Galaxy, Observation"
GRB 251023B,EP251023b,EP/WXT,73.502,12.648,0.0366666666666666,42415.0,2025-10-23,08:46:06,42415.0,160.0,,42415.0,,42415,,,,"Detection, Localization, Refined Localization, X-ray, Spectroscopy, Observation"
GRB 251022A,,,,,,42423.0,2025-10-22,,42423.0,,,,,42423,,<3,,"Detection, Gamma-ray, Optical, Redshift, Observation"
GRB 251017A,,,,,0.0001666666666666,42350.0,2025-10-17,,42350.0,,,,,"42350, 42348, 42341",,"4.327, 4.34, >4",,"Detection, Optical, Spectroscopy, Redshift, Observation; Detection, Optical, Redshift, Observation; Detection, Gamma-ray, Optical, Redshift, Observation"
GRB 251015B,,Fermi/GBM,355.1,-56.1,1.0,42293.0,2025-10-15,16:08:49,42293.0,,,,L?,42293,,,,"Detection, Localization, Gamma-ray"
GRB 251013C,,,345.8356,-0.2103,,42247.0,2025-10-13,,42736.0,12.0,,42259.0,,"42736, 42319, 42247, 42254, 42227, 42232, 42259",10-1000 keV,0.572,,"Detection, Gamma-ray, Optical, Redshift, Observation; Detection, Localization, Gamma-ray, X-ray, Optical, Redshift, Observation; Detection, Gamma-ray, X-ray, Optical, Radio, Redshift, Observation; Detection, Gamma-ray, Optical, Spectroscopy, Redshift, Observation; Detection, Localization, Gamma-ray, X-ray, Optical, Spectroscopy, Redshift, Upper Limit, Observation; Detection, Localization, Gamma-ray, X-ray, Spectroscopy, Timing, Redshift, Observation"
GRB 251006B,EP251006a,EP/WXT,40.505,-5.989,0.04,42137.0,2025-10-06,20:05:04,42137.0,100.0,,42137.0,,42137,,,,"Detection, Localization, X-ray, Spectroscopy, Observation"
GRB 251003A,,,,,,42086.0,2025-10-03,03:12:00,42086.0,,,,,"42086, 42096, 42074, 42095",,"4.412, >4, 4.38",,"Detection, Optical, Spectroscopy, Redshift, Observation; Detection, Refined Localization, X-ray, Spectroscopy, Redshift, Observation; Detection, X-ray, Optical, Redshift, Observation; Detection, Gamma-ray, Optical, Redshift"
GRB 251002A,,,,,,42110.0,2025-10-02,,42110.0,26.0,,42093.0,,"42110, 42076, 42093, 42081",10-1000 keV,2.178,,"Detection, Optical, Redshift, Observation; Detection, Gamma-ray, Optical, Spectroscopy, Redshift, Observation; Detection, Localization, Gamma-ray, Spectroscopy, Timing, Redshift, Observation"
GRB 251001B,,,,,,42053.0,2025-10-01,02:39:00,42053.0,,,,,"42053, 42083",,2.162,,"Detection, Optical, Spectroscopy, Redshift, Observation; Detection, Gamma-ray, Optical, Redshift, Upper Limit, Observation"
GRB 250925A,EP250925a,EP/WXT,341.205,46.564,0.05,42001.0,2025-09-25,17:03:22,42001.0,200.0,,42001.0,,"42001, 42005, 42004, 42025, 42030, 41997",,"3.899, 4.2",,"Detection, Localization, X-ray, Spectroscopy, Observation; Detection, Optical, Redshift, Observation; Detection, Optical, Redshift, Upper Limit, Observation; Detection, Localization, X-ray, Optical, Spectroscopy, Redshift, Observation"
GRB 250920C,,,,,,41955.0,2025-09-20,04:29:00,41928.0,,,,,"41955, 42009, 41952, 41928",,"1.399, 1.4",,"Detection, Optical, Spectroscopy, Redshift, Host Galaxy, Observation; Detection, Gamma-ray, Optical, Infrared, Timing, Redshift, Observation; Detection, Optical, Spectroscopy, Redshift, Observation"
GRB 250920B,,,,,0.42,41915.0,2025-09-20,,41915.0,,,,,41915,,2.2,,"Detection, Localization, Gamma-ray, X-ray, Optical, Spectroscopy, Redshift, Observation"
GRB 250919A,EP250919a,EP/WXT,298.552,-48.8395,0.0055555555555555,41879.0,2025-09-19,02:14:55,41879.0,129.3,,41890.0,,"41893, 41996, 41883, 41885, 41879, 41890",10-1000 keV,1.145,,"Detection, Gamma-ray, X-ray, Optical, Redshift, Observation; Detection, Localization, Gamma-ray, X-ray, Optical, Redshift; Detection, Localization, Gamma-ray, Optical, Spectroscopy, Redshift; Detection, Localization, Gamma-ray, X-ray, Optical, Spectroscopy, Redshift, Upper Limit, Observation; Detection, X-ray, Optical, Observation; Detection, Localization, Gamma-ray, X-ray, Optical, Spectroscopy, Timing, Redshift, Observation"
GRB 250916A,,,,,,41863.0,2025-09-16,,41863.0,,,,L,"41863, 41870, 41892",,2.015,,"Gamma-ray, Optical, Spectroscopy, Redshift, Host Galaxy, Observation; Detection, Gamma-ray, Optical, Redshift, Observation; Detection, Gamma-ray, X-ray, Optical, Redshift, Observation"
GRB 250910A,EP250910a,EP/WXT,39.797,-39.686,0.035,41776.0,2025-09-10,03:16:04,41776.0,,,,,"41776, 42031",,0.592,,"Detection, Localization, X-ray, Spectroscopy, Observation; Detection, Localization, Optical, Infrared, Spectroscopy, Redshift, Host Galaxy, Observation"
GRB 250903A,,,,,,41691.0,2025-09-03,,41691.0,,,,,41691,,<1.62,,"Detection, Gamma-ray, Optical, Spectroscopy, Redshift, Upper Limit, Observation"
GRB 250830B,EP250830a,EP/WXT,105.723,-64.816,0.05,41611.0,2025-08-30,03:57:09,41611.0,,,,,41611,,,,"Detection, Localization, X-ray, Spectroscopy, Observation"
GRB 250818B,,,,,,41419.0,2025-08-18,,41419.0,,,,S,41419,,1.216,,"Detection, Localization, X-ray, Optical, Spectroscopy, Timing, Redshift, Observation"
GRB 250813B,,,,,,41376.0,2025-08-13,,41376.0,24.1,,41376.0,,"41376, 41363",10-1000 keV,1.752,,"Detection, Localization, Gamma-ray, Optical, Spectroscopy, Timing, Redshift, Observation; Detection, Gamma-ray, Optical, Spectroscopy, Redshift, Observation"
GRB 250812A,,,,,,41348.0,2025-08-12,,41348.0,,,,,"41348, 41347",,"2.571, 2.57",,"Detection, Gamma-ray, Optical, Spectroscopy, Redshift, Observation"
GRB 250807B,,,,,,41289.0,2025-08-07,,41289.0,,,,,41289,,1.522,,"Detection, Optical, Spectroscopy, Redshift, Observation"
GRB 250806A,,,,,,41285.0,2025-08-06,,41285.0,,,,,"41285, 41499",,"0.3, 0.367","spectroscopic z= 0.367 (#41499), photometric z = 0.51 +/- 0.09 (#41279)","Detection, Localization, Gamma-ray, Optical, Redshift, Host Galaxy, Upper Limit, Observation; Redshift, Host Galaxy, Observation"
GRB 250725A,,,,,,41170.0,2025-07-25,,41170.0,9.5,,41169.0,,"41170, 41160, 41169",10-1000 keV,5.26,,"Detection, Refined Localization, X-ray, Spectroscopy, Redshift, Observation; Detection, Gamma-ray, Optical, Spectroscopy, Redshift, Host Galaxy, Observation; Detection, Localization, Gamma-ray, X-ray, Spectroscopy, Timing, Redshift, Observation"
GRB 250716A,,,,,,41103.0,2025-07-16,,41103.0,,,,,41103,,0.98,,"Detection, Localization, Gamma-ray, Optical, Redshift, Host Galaxy, Observation"
GRB 250706B,,,,,,41022.0,2025-07-06,,41022.0,,,,,41022,,0.942,,"Detection, Gamma-ray, Optical, Spectroscopy, Redshift, Observation"
GRB 250706A,EP250706a,EP/WXT,284.02,32.329,0.0366666666666666,41005.0,2025-07-06,15:48:25,41005.0,,,,,41005,,,,"Detection, Localization, X-ray, Spectroscopy, Observation"
GRB 250704B,EP250704a,EP/WXT,300.8721,12.023,0.0027777777777777,40956.0,2025-07-04,08:16:27,40956.0,10.0,,40956.0,S,"40966, 40941, 41038, 40956",,0.661,,"Detection, Gamma-ray, X-ray, Optical, Redshift, Observation; Detection, Localization, X-ray, Observation; Detection, Localization, X-ray, Optical, Radio, Timing, Redshift, Observation; Detection, Refined Localization, X-ray, Optical, Spectroscopy, Observation"
GRB 250704A,,,,,,40953.0,2025-07-04,,40953.0,,,,,40953,,1.091,,"Detection, Localization, Gamma-ray, X-ray, Optical, Spectroscopy, Redshift, Upper Limit, Observation"
GRB 250702F,,,,,,40927.0,2025-07-02,22:36:29,40901.0,54.0,,40927.0,,"40927, 40928, 40901",10-1000 keV,1.52,,"Detection, Localization, Gamma-ray, Spectroscopy, Timing, Redshift, Observation; Detection, Refined Localization, X-ray, Spectroscopy, Redshift, Observation; Detection, Gamma-ray, Optical, Redshift, Observation"
GRB 250702B,EP250702a,EP/WXT,284.7,-7.869,0.04,40906.0,2025-07-02,02:53:44,40906.0,,,,,40906,,,,"Detection, Localization, Gamma-ray, X-ray, Spectroscopy, Observation"
GRB 250625A,,,,,,40846.0,2025-06-25,,40846.0,,,,,"40846, 40860",,0.655,,"Detection, Localization, Gamma-ray, X-ray, Optical, Redshift, Host Galaxy, Observation; Detection, Localization, Gamma-ray, Optical, Redshift, Host Galaxy, Observation"
GRB 250617B,,,,,,40776.0,2025-06-17,,40776.0,,,,,40776,,1.396,,"Detection, Gamma-ray, Optical, Redshift, Host Galaxy, Observation"
GRB 250615A,EP250615a,EP/WXT,290.379,4.678,0.03635,40743.0,2025-06-15,22:25:17,40743.0,,,,,40743,,,,"Detection, Localization, X-ray, Spectroscopy, Observation"
GRB 250530A,,,,,,40598.0,2025-05-30,,40598.0,,,,,"40598, 44391, 40582",,1.486,,"Detection, Gamma-ray, X-ray, Optical, Infrared, Spectroscopy, Redshift, Host Galaxy, Observation; Detection, Localization, Optical, Infrared, Spectroscopy, Redshift, Host Galaxy, Observation; Detection, Gamma-ray, X-ray, Optical, Redshift, Upper Limit"
GRB 250515A,,,,,,40480.0,2025-05-15,,40480.0,,,,,40480,,0.18,,"Detection, Localization, Gamma-ray, Optical, Spectroscopy, Redshift, Host Galaxy, Observation"
GRB 250512B,EP250512a,EP/WXT,215.2043,-10.1009,0.0027777777777777,40448.0,2025-05-12,11:20:03,40448.0,360.0,,40448.0,,"44392, 40448, 40437",,1.773,,"Detection, Localization, Gamma-ray, X-ray, Optical, Infrared, Spectroscopy, Redshift, Host Galaxy; Detection, Refined Localization, Gamma-ray, X-ray, Spectroscopy, Timing, Observation; Detection, Localization, X-ray, Observation"
GRB 250506A,,,,,,40360.0,2025-05-06,,40360.0,,,,,40360,,0.46,,"Detection, Localization, Gamma-ray, X-ray, Optical, Redshift, Observation"
GRB 250502A,,,206.52396,-10.75879,0.00125,40336.0,2025-05-02,,40330.0,,,,,"40330, 40337, 40339, 40336, 40334, 40328",,2.163,,"Detection, Localization, Gamma-ray, Optical, Redshift, Observation; Detection, X-ray, Optical, Redshift, Observation; Detection, Localization, Gamma-ray, X-ray, Optical, Spectroscopy, Redshift, Observation; Detection, Gamma-ray, Optical, Redshift, Observation; Detection, Optical, Spectroscopy, Redshift, Observation"
GRB 250430A,EP250430a,EP/WXT,233.399,-18.13,0.0483333333333333,40299.0,2025-04-30,17:31:05.500000,40299.0,,,,L?,"40299, 40301",,0.767,,"Detection, Localization, X-ray, Spectroscopy, Timing, Observation; Detection, Localization, Gamma-ray, Optical, Infrared, Spectroscopy, Redshift, Host Galaxy, Observation"
GRB 250427A,EP250427a,EP/WXT,277.281,7.57,0.0333333333333333,40257.0,2025-04-27,03:38:45,40257.0,180.0,,40257.0,,"40488, 40265, 40267, 40274, 40266, 40268, 40257",,"1.52, 1.519",,"Detection, Localization, X-ray, Optical, Radio, Spectroscopy, Redshift, Host Galaxy, Observation; Detection, Optical, Spectroscopy, Redshift, Observation; Detection, Localization, Gamma-ray, X-ray, Optical, Infrared, Redshift, Observation; Detection, Localization, Refined Localization, Gamma-ray, X-ray, Optical, Spectroscopy, Redshift, Observation; Detection, Localization, Refined Localization, X-ray, Optical, Spectroscopy, Redshift, Observation; Detection, Localization, X-ray, Spectroscopy, Observation"
GRB 250424A,,,,,,40461.0,2025-04-24,,40461.0,,,,,"40461, 40228",,0.31,,"Detection, Optical, Redshift, Host Galaxy, Observation; Detection, Gamma-ray, Optical, Infrared, Redshift, Host Galaxy, Observation"
GRB 250419A,,,,,,40174.0,2025-04-19,,40174.0,,,,L,"40174, 40182, 40183, 40210",,0.845,,"Detection, Localization, Gamma-ray, Optical, Spectroscopy, Redshift, Observation; Detection, Optical, Redshift, Observation; Detection, Localization, Gamma-ray, X-ray, Optical, Redshift, Observation; Detection, Gamma-ray, Optical, Redshift, Observation"
GRB 250416C,EP250416a,EP/WXT,256.402,25.768,0.05,40154.0,2025-04-16,17:53:29,40165.0,,,,,"40219, 40154, 40160, 40165",,"0.963, 0.72",,"Detection, X-ray, Optical, Spectroscopy, Redshift, Host Galaxy, Observation; Detection, Localization, X-ray, Observation; Detection, Localization, X-ray, Optical, Redshift, Observation; Detection, Refined Localization, X-ray, Optical, Spectroscopy, Redshift, Host Galaxy, Observation"
GRB 250407A,,,,,,40175.0,2025-04-07,,40175.0,,,,,40175,,1.36,,"Detection, Localization, Gamma-ray, Optical, Redshift, Host Galaxy, Observation"
GRB 250404A,EP250404a,EP/WXT,125.0601,35.5284,0.0027777777777777,40085.0,2025-04-04,14:19:45,40085.0,16.0,,40085.0,L?,"40071, 40061, 40051, 40084, 41787, 40085",,"2.63, 2.627, 1.88",,"Detection, Localization, Gamma-ray, X-ray, Optical, Redshift, Observation; Detection, Gamma-ray, Optical, Spectroscopy, Redshift; Detection, Localization, X-ray, Observation; Detection, Gamma-ray, X-ray, Optical, Spectroscopy, Redshift, Observation; Spectroscopy, Redshift, Observation; Detection, Localization, Refined Localization, X-ray, Optical, Spectroscopy, Redshift, Observation"
GRB 250403A,,,,,,40162.0,2025-04-03,,40162.0,,,,L,40162,,<2.06,,"Detection, Gamma-ray, Optical, Infrared, Spectroscopy, Redshift, Upper Limit, Observation"
GRB 250402A,,,213.40915,-5.93013,0.0001388888888888,40015.0,2025-04-02,,40015.0,,,,,"40015, 40022",,2.823,,"Detection, Localization, Gamma-ray, Optical, Redshift; Detection, Gamma-ray, Optical, Spectroscopy, Redshift, Observation"
GRB 250329A,,,,,,40010.0,2025-03-29,,40010.0,,,,,"40010, 39918",,"2.9, 2.921",,"Detection, Localization, X-ray, Optical, Infrared, Redshift, Upper Limit; Detection, Gamma-ray, Optical, Redshift, Observation"
GRB 250328A,,,,,,44399.0,2025-03-28,,44399.0,,,,,44399,,1.25,,"Detection, Localization, Optical, Infrared, Redshift, Host Galaxy, Observation"
GRB 250327B,,,176.7789,29.83953,0.0009722222222222,39895.0,2025-03-27,,39893.0,,,,,"39893, 39905, 39895",,"3.035, 3.038",,"Detection, Optical, Spectroscopy, Redshift, Observation; Detection, Gamma-ray, Optical, Spectroscopy, Redshift, Observation; Detection, Localization, Gamma-ray, X-ray, Optical, Spectroscopy, Redshift, Observation"
GRB 250322A,,,,,,39859.0,2025-03-22,22:07:00,40036.0,,,,S,"39859, 39852, 40036",,"0.4215, 0.42",,"Localization, X-ray, Infrared, Redshift, Host Galaxy, Observation; Detection, Localization, X-ray, Timing, Redshift, Host Galaxy, Observation; Detection, Localization, X-ray, Optical, Radio, Redshift, Host Galaxy, Observation"
GRB 250317B,,,,,,39769.0,2025-03-17,00:16:22,39769.0,,,,,39769,,3.44,,"Detection, Optical, Spectroscopy, Redshift, Observation"
