GRB,EP,Instrument,RA_deg,Dec_deg,Error_deg,po_CircularID,TriggerDate,TriggerTime,time_CircularID,T90_s,T90_err_s,T90_CircularID,GRBType,CircularID,EnergyBand,redshift,z_CircularID,Comment,CircularType
GRB 260604B,,"Fermi/GBM, SVOM/GRM",173.4,-19.9,10.8,44818,2026-06-04,08:45:55,44818,17.0,9.0,44850.0,S?,"44818, 44850",15-5000 keV,,,,"Detection, Localization, Gamma-ray; Detection, Localization, Gamma-ray, Optical, Spectroscopy, Timing"
GRB 260604A,,"Glowbug, SVOM/GRM, Fermi/GBM",60.4,-12.8,9.3,44812,2026-06-04,02:24:24.648000,44845,4.1,,44845.0,L?,"44845, 44863, 44812",15-5000 keV,,,,"Detection, Gamma-ray, Timing; Detection, Localization, Gamma-ray, Optical, Spectroscopy, Timing; Detection, Localization, Gamma-ray"
GRB 260603C,,AstroSat/CZTI,,,,44933,2026-06-03,20:22:40.200000,44933,71.0,25.0,44933.0,L,44933,20-200 keV,,,,"Detection, Timing"
GRB 260603B,,Fermi/GBM,350.27,39.2,3.16,44808,2026-06-03,16:44:46.610000,44808,,,,L?,44808,,,,,"Detection, Localization, Gamma-ray"
GRB 260602B,,Fermi/GBM,187.55,-16.61,4.88,44779,2026-06-02,22:41:31.260000,44779,,,,S?,44779,,,,,"Detection, Localization, Gamma-ray"
GRB 260602A,,Fermi/GBM,26.3,48.7,2.0,44774,2026-06-02,18:29:53,44774,,,,L?,44774,,,,,"Detection, Localization, Gamma-ray"
GRB 260601B,EP260601a,"CALET, Glowbug, AstroSat/CZTI, Insight-HXMT/HE, Konus-Wind, IPN, GECAM-B, NuSTAR",271.2,-5.5,2.7,44767,2026-06-01,19:12:46.650000,44771,230.0,,44806.0,"L, L?","44773, 44801, 44839, 44785, 44806, 44884, 44767, 44768, 44771","40-1000 keV, 20-200 keV","4.0, >0.2, 1.068","44769, 44806, 44916",,"Detection, Localization, X-ray, Timing; Detection, Timing; Detection, X-ray, Timing; Detection, Gamma-ray, Spectroscopy, Timing, Observation; Detection, Localization, Gamma-ray, X-ray, Timing; Detection, Localization, X-ray, Spectroscopy, Timing, Observation"
GRB 260601A,,"CALET, Fermi/GBM, SVOM/GRM, Glowbug, IPN, Konus-Wind, GECAM-B",15.1,44.4,2.0,44755,2026-06-01,11:00:09.160000,44817,0.18,0.01,44817.0,"S, S?","44817, 44760, 44793, 44763, 44893, 44894, 44755, 44778","40-1000 keV, 10-1000 keV, 15-5000 keV",,,,"Detection, Gamma-ray, Timing; Detection, Gamma-ray, Spectroscopy, Timing, Observation; Detection, Localization, Gamma-ray, Optical, Spectroscopy, Timing, Observation; Detection, Localization, Gamma-ray, Spectroscopy, Timing; Detection, Gamma-ray, Spectroscopy, Timing, Upper Limit, Observation; Detection, Localization, Gamma-ray; Detection, Gamma-ray, Timing, Observation"
GRB 260531C,,Fermi/GBM,40.6,36.2,11.6,44751,2026-05-31,21:14:58.910000,44751,,,,S?,44751,,,,,"Detection, Localization, Gamma-ray"
GRB 260531B,,"Glowbug, GECAM-B, Fermi/GBM",282.6,6.4,2.2,44747,2026-05-31,13:57:58.840000,44762,8.2,,44762.0,L?,"44762, 44754, 44747",,,,,"Detection, Gamma-ray, Timing; Detection, Gamma-ray, Timing, Observation; Detection, Localization, Gamma-ray"
GRB 260531A,,MAXI/GSC,69.904,-10.627,0.23,44746,2026-05-31,05:30:18,44746,,,,,44746,,,,,"Detection, Localization, X-ray, Upper Limit"
GRB 260530B,,SVOM/GRM,,,,44742,2026-05-30,06:00:05.600000,44742,1.55,0.2,44742.0,S,44742,15-5000 keV,,,,"Detection, Gamma-ray, Timing"
GRB 260530A,,Fermi/GBM,93.0,12.7,6.4,44741,2026-05-30,06:10:52,44741,,,,L?,44741,,,,,"Detection, Localization, Gamma-ray"
GRB 260529A,,Fermi/GBM,302.8,-15.3,4.2,44733,2026-05-29,02:49:57,44733,,,,L?,44733,,,,,"Detection, Localization, Gamma-ray"
GRB 260527A,EP260527a,"GECAM-B, CALET, IPN, Insight-HXMT/HE, Konus-Wind, Glowbug",206.1,6.7,4.9,44724,2026-05-27,06:16:08.912000,44757,0.26,,44757.0,S,"44724, 44726, 44744, 44735, 44722, 44757",,"0.8, 0.3656","44736, 44740, 44728",,"Detection, Localization, Gamma-ray, X-ray, Timing; Detection, Localization, Gamma-ray, X-ray, Timing, Observation; Detection, Gamma-ray, X-ray, Timing; Detection, Localization, Gamma-ray, Spectroscopy, Timing, Observation; Detection, Gamma-ray, Timing"
GRB 260526A,,"Fermi/GBM, GECAM-B",40.1,43.9,3.8,44707,2026-05-26,23:04:00,44707,42.0,6.0,44723.0,L?,"44707, 44723",,,,,"Detection, Localization, Gamma-ray; Detection, Gamma-ray, Timing, Observation"
GRB 260525A,,"AstroSat/CZTI, Fermi/GBM",125.2,-44.5,6.3,44703,2026-05-25,23:33:42,44703,8.0,2.0,44711.0,"L, L?","44711, 44703",20-200 keV,,,,"Detection, Gamma-ray, Timing; Detection, Localization, Gamma-ray"
GRB 260523B,,"AstroSat/CZTI, GECAM-B, Fermi/GBM",34.1,-63.1,3.1,44699,2026-05-23,19:26:02,44699,1.74,0.57,44702.0,"S, S?","44702, 44701, 44699",20-200 keV,,,,"Detection, Gamma-ray, Timing; Detection, Gamma-ray, Timing, Observation; Detection, Localization, Gamma-ray"
GRB 260523A,,Fermi/GBM,315.6,-6.8,5.5,44698,2026-05-23,16:06:10,44698,,,,L?,44698,,,,,"Detection, Localization, Gamma-ray"
GRB 260522B,,"NuSTAR, Fermi/GBM",278.65,-33.23,1.0,44694,2026-05-22,09:35:00.130000,44696,,,,"L, L?","44696, 44694",,,,,"Detection, Localization, Gamma-ray, Timing; Detection, Localization, Gamma-ray"
GRB 260522A,,"Fermi/GBM, Fermi/LAT",346.67,9.66,0.55,44689,2026-05-22,02:15:08,44687,1.8,,44697.0,S?,"44697, 44687, 44689",10-1000 keV,,,,"Detection, Localization, Gamma-ray, Spectroscopy, Timing, Observation; Detection, Localization, Gamma-ray; Detection, Gamma-ray, Observation"
GRB 260520B,,"Fermi/GBM, SVOM/GRM",346.68,39.68,14.0,44676,2026-05-20,09:35:52.730000,44676,6.0,7.0,44685.0,L?,"44676, 44685",15-5000 keV,,,,"Detection, Localization, Gamma-ray; Detection, Localization, Gamma-ray, Optical, Timing, Observation"
GRB 260520A,,Fermi/GBM,191.01,-34.56,14.0,44674,2026-05-20,01:24:47.420000,44674,,,,L?,44674,,,,,"Detection, Localization, Gamma-ray"
GRB 260519D,,Fermi/GBM,87.37,-6.37,14.0,44673,2026-05-19,19:37:23.371000,44673,,,,L?,44673,,,,,"Detection, Localization, Gamma-ray"
GRB 260519C,,"SVOM/GRM, Konus-Wind, NuSTAR",,,,44688,2026-05-19,13:45:36.443000,44677,27.0,,44677.0,L,"44688, 44677, 44672",15-5000 keV,,,,"Detection, Localization, Gamma-ray, Spectroscopy, Timing, Observation; Detection, Gamma-ray, Spectroscopy, Timing, Upper Limit, Observation; Detection, Gamma-ray, Timing"
GRB 260519B,,Fermi/GBM,85.76,-73.67,17.01,44670,2026-05-19,03:37:41.370000,44670,,,,L?,44670,,,,,"Detection, Localization, Gamma-ray"
GRB 260519A,,Fermi/GBM,273.75,14.25,17.0,44669,2026-05-19,10:56:45.510000,44669,,,,L?,44669,,,,,"Detection, Localization, Gamma-ray"
GRB 260518A,,"Konus-Wind, AstroSat/CZTI",,,,44671,2026-05-18,07:44:29.100000,44668,9.0,2.0,44668.0,L,"44671, 44668",20-200 keV,,,,"Detection, Gamma-ray, Spectroscopy, Timing, Upper Limit, Observation; Detection, Timing"
GRB 260516C,,Fermi/GBM,172.6,-59.9,3.2,44648,2026-05-16,19:34:38,44648,,,,L?,44648,,,,,"Detection, Localization, Gamma-ray"
GRB 260516B,,Fermi/GBM,161.5,36.8,4.8,44636,2026-05-16,05:12:36,44636,,,,L?,44636,,,,,"Detection, Localization, Gamma-ray"
GRB 260516A,,Fermi/GBM,111.5,-37.6,7.7,44631,2026-05-16,02:50:48,44631,,,,L?,44631,,,,,"Detection, Localization, Gamma-ray"
GRB 260514A,,Fermi/GBM,231.1,-37.7,10.9,44604,2026-05-14,04:56:40,44604,,,,L?,44604,,,,,"Detection, Localization, Gamma-ray"
GRB 260513A,,Fermi/GBM,320.8,-36.4,2.3,44599,2026-05-13,21:24:18,44599,,,,L?,44599,,,,,"Detection, Localization, Gamma-ray"
GRB 260512A,,"IPN, NuSTAR, Konus-Wind, AstroSat/CZTI, Fermi/GBM",153.6,-82.6,2.0,44587,2026-05-12,16:56:43,44611,23.0,,44617.0,"L, L?","44611, 44591, 44617, 44608, 44587",20-200 keV,,,,"Detection, Localization, Gamma-ray, Spectroscopy, Timing; Detection, Localization, Gamma-ray, Timing; Detection, Gamma-ray, Spectroscopy, Timing, Observation; Detection, Gamma-ray, Timing; Detection, Localization, Gamma-ray"
GRB 260511C,,Fermi/GBM,219.4,39.3,14.9,44553,2026-05-11,15:15:49,44553,,,,L?,44553,,,,,"Detection, Localization, Gamma-ray"
GRB 260510D,,"Glowbug, Fermi/GBM",3.0,37.4,13.9,44523,2026-05-10,20:38:07.656000,44581,0.13,,44581.0,"S, S?","44581, 44523",,,,,"Detection, Gamma-ray, Timing; Detection, Localization, Gamma-ray"
GRB 260510A,,"Fermi/GBM, GECAM-B",0.5,-41.9,6.1,44508,2026-05-10,02:46:19,44508,38.0,6.0,44519.0,L?,"44508, 44519",,,,,"Detection, Localization, Gamma-ray; Detection, Gamma-ray, Timing, Observation"
GRB 260507B,EP260507a,Fermi/GBM,,,,44499,2026-05-07,13:47:57,44499,16.0,,44499.0,,44499,,,,,"Detection, Localization, Gamma-ray, Spectroscopy, Timing"
GRB 260507A,,"GRID, Fermi/GBM",287.5,-21.3,2.4,44493,2026-05-07,20:27:59.700000,44583,19.3,3.2,44583.0,"L, L?","44583, 44630, 44493",,,,,"Detection, Localization, Gamma-ray, Timing; Detection, Gamma-ray, Timing; Detection, Localization, Gamma-ray"
GRB 260506B,,"Glowbug, AstroSat/CZTI, Fermi/GBM",280.7,-6.1,1.5,44485,2026-05-06,13:07:23,44484,22.0,15.0,44503.0,L?,"44559, 44503, 44484, 44485",20-200 keV,,,,"Detection, Gamma-ray, Timing; Detection, Localization, Gamma-ray; Detection, Localization, Gamma-ray, Spectroscopy"
GRB 260506A,,"Fermi/GBM, Glowbug",145.7,76.1,7.2,44481,2026-05-06,06:28:47.264000,44558,0.32,,44558.0,"S?, S","44481, 44558",,,,,"Detection, Localization, Gamma-ray; Detection, Gamma-ray, Timing"
GRB 260504C,,SVOM/GRM,,,,44471,2026-05-04,07:10:06.600000,44471,0.26,0.08,44471.0,S,44471,15-5000 keV,,,,"Detection, Gamma-ray, Timing, Observation"
GRB 260504A,,Fermi/GBM,308.8,48.4,5.0,44452,2026-05-04,09:12:58,44452,,,,L?,44452,,,,,"Detection, Localization, Gamma-ray"
GRB 260503A,,"GECAM-B, Fermi/GBM, SVOM/GRM",287.1,-2.0,2.6,44451,2026-05-03,20:40:17,44451,21.0,4.0,44480.0,L?,"44480, 44451, 44465",15-5000 keV,,,,"Detection, Gamma-ray, Timing, Observation; Detection, Localization, Gamma-ray; Detection, Localization, Gamma-ray, Optical, Spectroscopy, Timing, Observation"
GRB 260502A,,"GECAM-B, Fermi/GBM, SVOM/GRM",283.76,57.62,13.77,44447,2026-05-02,05:01:00.250000,44447,0.61,0.28,44466.0,"S, S?","44449, 44447, 44466",15-5000 keV,,,,"Detection, Gamma-ray, Timing, Observation; Detection, Localization, Gamma-ray; Detection, Localization, Gamma-ray, Optical, Spectroscopy, Timing, Observation"
GRB 260430B,,"AstroSat/CZTI, Glowbug",,,,44469,2026-04-30,16:04:22.184000,44478,49.2,,44478.0,L,"44469, 44478",20-200 keV,,,,"Detection, Timing; Detection, Gamma-ray, Timing"
GRB 260429B,EP260429a,AstroSat/CZTI,,,,44443,2026-04-29,14:42:59.270000,44443,34.0,9.0,44443.0,L,44443,100-500 keV,,,,"Detection, Gamma-ray, Timing"
GRB 260429A,,"IPN, Fermi/GBM, SVOM/GRM",283.9,18.1,2.6,44425,2026-04-29,23:24:02,44459,0.16,,44430.0,"S, S?","44459, 44430, 44425, 44439","10-1000 keV, 15-5000 keV",,,,"Detection, Localization, Gamma-ray, Spectroscopy, Timing; Detection, Gamma-ray, Spectroscopy, Timing; Detection, Localization, Gamma-ray; Detection, Localization, Gamma-ray, Optical, Spectroscopy, Timing, Observation"
GRB 260428A,,"IPN, TERI, Fermi/GBM, GECAM-B, SVOM/GRM, AstroSat/CZTI",277.0,1.9,2.1,44415,2026-04-28,14:20:34.992000,44678,8.0,5.7,44421.0,"S, L?, L","44458, 44678, 44415, 44423, 44424, 44421","15-5000 keV, 20-200 keV",,,,"Detection, Localization, Gamma-ray, Spectroscopy, Timing, Observation; Detection, Gamma-ray, Observation; Detection, Localization, Gamma-ray; Detection, Gamma-ray, Spectroscopy, Timing; Detection, Localization, Gamma-ray, X-ray, Optical, Spectroscopy, Timing, Observation; Detection, Gamma-ray, Timing"
GRB 260424C,,Fermi/GBM,171.74,20.24,14.8,44413,2026-04-24,15:30:22.500000,44413,,,,S?,44413,,,,,"Detection, Localization, Gamma-ray"
GRB 260424B,,"IPN, Glowbug, AstroSat/CZTI, Konus-Wind, SVOM/GRM",348.155,41.208,,44411,2026-04-24,23:37:22,44411,1.4,0.6,44410.0,S,"44411, 44418, 44435, 44416, 44410","100-500 keV, 15-5000 keV",,,,"Detection, Localization, Gamma-ray, Spectroscopy, Timing; Detection, Gamma-ray, Timing; Detection, Gamma-ray, Spectroscopy, Timing, Upper Limit, Observation"
GRB 260424A,,AstroSat/CZTI,,,,44404,2026-04-24,00:22:01.500000,44404,12.6,9.23,44404.0,L,44404,20-200 keV,,,,"Detection, Timing"
GRB 260421C,,Fermi/GBM,295.0,64.2,3.1,44369,2026-04-21,08:25:19,44369,,,,L?,44369,,,,,"Detection, Localization, Gamma-ray"
GRB 260421A,,"Fermi/GBM, AstroSat/CZTI",198.8,62.9,8.2,44358,2026-04-21,02:12:43.910000,44380,,,,"S?, S","44358, 44380",100-500 keV,,,,"Detection, Localization, Gamma-ray; Detection, Gamma-ray, Timing"
GRB 260419B,,Fermi/GBM,137.1,-33.8,9.6,44347,2026-04-19,07:49:50,44347,,,,L?,44347,,,,,"Detection, Localization, Gamma-ray"
GRB 260419A,,"Fermi/GBM, AstroSat/CZTI",317.4,-34.4,2.3,44346,2026-04-19,07:09:40,44346,47.0,28.0,44390.0,"L?, L","44346, 44390",20-200 keV,,,,"Detection, Localization, Gamma-ray; Detection, Gamma-ray, Timing"
GRB 260418B,,Fermi/GBM,34.7,-40.5,4.0,44340,2026-04-18,16:20:21,44340,,,,L?,44340,,,,,"Detection, Localization, Gamma-ray"
GRB 260418A,,"Insight-HXMT/HE, Fermi/GBM",140.6,29.3,18.1,44335,2026-04-18,04:49:35,44374,0.3,0.55,44374.0,"S, S?","44374, 44335",,,,,"Detection, Gamma-ray, X-ray, Timing; Detection, Localization, Gamma-ray"
GRB 260417B,,Fermi/GBM,264.8,-27.4,8.4,44331,2026-04-17,15:43:55,44331,,,,L?,44331,,,,,"Detection, Localization, Gamma-ray"
GRB 260417A,EP260417a,"AstroSat/CZTI, Fermi/GBM, SVOM/GRM",252.0,-19.8,3.4,44317,2026-04-17,00:10:05,44317,38.0,15.0,44349.0,"L, L?","44330, 44317, 44349","100-500 keV, 15-5000 keV",,,,"Detection, Gamma-ray, Timing; Detection, Localization, Gamma-ray; Detection, Localization, Gamma-ray, Optical, Spectroscopy, Timing, Observation"
GRB 260415C,,Konus-Wind,,,,44463,2026-04-15,07:40:59.163000,44463,11.3,,44463.0,L,44463,,,,,"Detection, Gamma-ray, Spectroscopy, Timing, Observation"
GRB 260415B,,"NuSTAR, Glowbug, Fermi/GBM, CALET",229.43,24.94,9.03,44300,2026-04-15,02:25:27.664000,44313,272.2,,44313.0,"L, L?","44302, 44313, 44300, 44371",,,,,"Detection, Localization, Gamma-ray, Timing; Detection, Gamma-ray, Timing; Detection, Localization, Gamma-ray"
GRB 260415A,,"Insight-HXMT/HE, Fermi/GBM, CALET",58.5,-24.0,5.5,44299,2026-04-15,04:43:58.340000,44372,36.2,1.5,44372.0,L?,"44311, 44299, 44372",,,,,"Detection, Gamma-ray, X-ray, Timing; Detection, Localization, Gamma-ray; Detection, Localization, Gamma-ray, Timing"
GRB 260414A,,"Insight-HXMT/HE, Glowbug, Fermi/GBM",17.0,39.8,6.0,44293,2026-04-14,06:31:55,44293,34.5,11.0,44320.0,L?,"44320, 44297, 44293",,,,,"Detection, Gamma-ray, X-ray, Timing; Detection, Gamma-ray, Timing; Detection, Localization, Gamma-ray"
GRB 260413A,,Fermi/GBM,87.0,-64.0,26.0,44289,2026-04-13,13:43:37,44289,,,,S?,44289,,,,,"Detection, Localization, Gamma-ray"
GRB 260411C,,Konus-Wind,,,,44461,2026-04-11,05:53:56.871000,44461,24.3,,44461.0,L,44461,,,,,"Detection, Gamma-ray, Spectroscopy, Timing, Observation"
