GRB,EP,Instrument,RA_deg,Dec_deg,Error_deg,po_CircularID,TriggerDate,TriggerTime,time_CircularID,T90_s,T90_err_s,T90_CircularID,GRBType,CircularID,EnergyBand,redshift,Comment,CircularType
GRB 260607B,,"Fermi/GBM, AstroSat/CZTI, Konus-Wind, Fermi/LAT",54.68,30.45,0.4,44860.0,2026-06-07,13:19:28.353000,44881.0,47.0,,44861.0,"L, L?","44861, 44871, 44881, 44860, 44859","10-1000 keV, 20-200 keV",,,"Detection, Localization, Gamma-ray, Spectroscopy, Timing, Observation; Detection, Gamma-ray, Timing; Detection, Gamma-ray, Spectroscopy, Timing, Observation; Detection, Gamma-ray; Detection, Localization, Gamma-ray"
GRB 260607A,,Fermi/GBM,304.2,36.5,7.3,44855.0,2026-06-07,12:49:18,44855.0,,,,S?,"44855, 44876, 44866, 44856",,"0.111, 0.126",,"Detection, Localization, Gamma-ray; Detection, Gamma-ray, Optical, Spectroscopy, Redshift, Host Galaxy, Observation; Detection, Gamma-ray, Optical, Redshift, Host Galaxy, Observation; Localization, Gamma-ray"
GRB 260605A,,"Insight-HXMT/HE, IPN",,,,44849.0,2026-06-05,01:04:27.850000,44849.0,11.0,2.5,44849.0,L,"44849, 45031",,,,"Detection, Gamma-ray, X-ray, Timing; Detection, Localization, Gamma-ray, Timing"
GRB 260604C,,"Konus-Wind, Fermi/GBM, SVOM/ECLAIRs, SVOM, AstroSat/CZTI",224.396,28.742,0.1433333333333333,44883.0,2026-06-04,20:18:44,44822.0,8.5,,44887.0,"L, L?","44887, 44831, 44822, 44883, 44823, 44885","10-1000 keV, 4-20 keV, 5-20 keV, 20-200 keV",,,"Detection, Gamma-ray, Spectroscopy, Timing, Observation; Detection, Localization, Gamma-ray, Spectroscopy, Timing, Observation; Detection, Localization, Gamma-ray; Detection, Localization, Refined Localization, Gamma-ray, Optical, Spectroscopy, Timing, Observation; Detection, Localization, Gamma-ray, X-ray, Optical, Observation; Detection, Gamma-ray, Timing"
GRB 260604B,,"Fermi/GBM, SVOM/GRM",173.4,-19.9,10.8,44818.0,2026-06-04,08:45:55,44818.0,17.0,9.0,44850.0,S?,"44818, 44850",15-5000 keV,,,"Detection, Localization, Gamma-ray; Detection, Localization, Gamma-ray, Optical, Spectroscopy, Timing"
GRB 260604A,,"Glowbug, SVOM/GRM, Fermi/GBM",60.4,-12.8,9.3,44812.0,2026-06-04,02:24:24.648000,44845.0,4.1,,44845.0,L?,"44845, 44863, 44812",15-5000 keV,,,"Detection, Gamma-ray, Timing; Detection, Localization, Gamma-ray, Optical, Spectroscopy, Timing; Detection, Localization, Gamma-ray"
GRB 260604,,SVOM,,,,44824.0,2026-06-04,20:32:30,44824.0,,,,,44824,,,,"Detection, Upper Limit, Observation"
GRB 260603C,,AstroSat/CZTI,,,,44933.0,2026-06-03,20:22:40.200000,44933.0,,,,L,44933,20-200 keV,,,"Detection, Timing"
GRB 260603B,,Fermi/GBM,350.27,39.2,3.16,44808.0,2026-06-03,16:44:46.610000,44808.0,,,,L?,44808,,,,"Detection, Localization, Gamma-ray"
GRB 260603A,,"SVOM, SVOM/ECLAIRs",233.1366,40.0801,0.0903333333333333,44787.0,2026-06-03,05:37:55,44787.0,101.0,7.0,44848.0,,"44797, 44787, 44848","5-20 keV, 4-120 keV",3.57,,"Detection, Localization, Gamma-ray, Optical, Redshift, Host Galaxy, Observation; Detection, Localization, Gamma-ray; Detection, Refined Localization, Gamma-ray, Spectroscopy, Timing"
GRB 260603,,"SVOM, Fermi/GBM",,,,44788.0,2026-06-03,05:59:52,44788.0,,,,,"44788, 44795",,,,"Detection, Upper Limit, Observation"
GRB 260602B,,Fermi/GBM,187.55,-16.61,4.88,44779.0,2026-06-02,22:41:31.260000,44779.0,,,,S?,44779,,,,"Detection, Localization, Gamma-ray"
GRB 260602A,,Fermi/GBM,26.3,48.7,2.0,44774.0,2026-06-02,18:29:53,44774.0,,,,L?,44774,,,,"Detection, Localization, Gamma-ray"
GRB 260601B,EP260601a,"CALET, Glowbug, AstroSat/CZTI, Insight-HXMT/HE, Konus-Wind, IPN, GECAM-B, NuSTAR, EP/WXT",257.649,-1.647,0.05,44766.0,2026-06-01,19:12:41,44766.0,230.0,,44806.0,"L, L?","44773, 44801, 44839, 44785, 44769, 44806, 44916, 44884, 44767, 44771, 44766","40-1000 keV, 20-200 keV","4.0, >0.2, 1.068",,"Detection, Localization, X-ray, Timing; Detection, Timing; Detection, X-ray, Timing; Detection, Optical, Redshift, Observation; Detection, Gamma-ray, Spectroscopy, Timing, Observation; Localization, Optical, Infrared, Spectroscopy, Redshift, Host Galaxy, Observation; Detection, Localization, Gamma-ray, X-ray, Timing; Detection, Localization, X-ray, Spectroscopy, Observation"
GRB 260601A,,"CALET, Fermi/GBM, SVOM/GRM, Glowbug, IPN, Konus-Wind",15.1,44.4,2.0,44755.0,2026-06-01,11:00:09.160000,44817.0,0.18,0.01,44817.0,"S, S?","44817, 44760, 44793, 44763, 44893, 44894, 44755","40-1000 keV, 10-1000 keV, 15-5000 keV",,,"Detection, Gamma-ray, Timing; Detection, Gamma-ray, Spectroscopy, Timing, Observation; Detection, Localization, Gamma-ray, Optical, Spectroscopy, Timing, Observation; Detection, Localization, Gamma-ray, Spectroscopy, Timing; Detection, Gamma-ray, Spectroscopy, Timing, Upper Limit, Observation; Detection, Localization, Gamma-ray"
GRB 260531C,,Fermi/GBM,40.6,36.2,11.6,44751.0,2026-05-31,21:14:58.910000,44751.0,,,,S?,44751,,,,"Detection, Localization, Gamma-ray"
GRB 260531B,,"Glowbug, Fermi/GBM",282.6,6.4,2.2,44747.0,2026-05-31,13:57:58.840000,44762.0,8.2,,44762.0,L?,"44762, 44747",,,,"Detection, Gamma-ray, Timing; Detection, Localization, Gamma-ray"
GRB 260531A,,MAXI/GSC,69.904,-10.627,0.23,44746.0,2026-05-31,05:30:18,44746.0,,,,,44746,,,,"Detection, Localization, X-ray, Upper Limit"
GRB 260531,,Fermi/GBM,,,,44748.0,2026-05-31,06:43:18,44748.0,,,,,44748,,,,"Detection, Upper Limit, Observation"
GRB 260530C,,SVOM/ECLAIRs,196.655,26.384,0.2133333333333333,44758.0,2026-05-30,00:13:15.620000,44758.0,,,,,44758,4-120 keV,,,"Detection, Localization, Gamma-ray, X-ray, Spectroscopy, Timing, Observation"
GRB 260530B,,SVOM/GRM,,,,44742.0,2026-05-30,06:00:05.600000,44742.0,1.55,0.2,44742.0,S,44742,15-5000 keV,,,"Detection, Gamma-ray, Timing"
GRB 260530A,,Fermi/GBM,93.0,12.7,6.4,44741.0,2026-05-30,06:10:52,44741.0,,,,L?,44741,,,,"Detection, Localization, Gamma-ray"
GRB 260529A,,Fermi/GBM,302.8,-15.3,4.2,44733.0,2026-05-29,02:49:57,44733.0,,,,L?,44733,,,,"Detection, Localization, Gamma-ray"
GRB 260527A,EP260527a,"GECAM-B, CALET, IPN, Insight-HXMT/HE, Konus-Wind, Glowbug, EP/WXT",193.057,1.473,0.0383333333333333,44718.0,2026-05-27,06:16:08.912000,44757.0,0.26,,44757.0,S,"44724, 44736, 44726, 44744, 44740, 44735, 44728, 44722, 44757, 44718",,"0.8, 0.3656",,"Detection, Localization, Gamma-ray, X-ray, Timing; Detection, Localization, Optical, Redshift, Host Galaxy, Observation; Detection, Localization, Gamma-ray, X-ray, Timing, Observation; Detection, Localization, Optical, Radio, Timing, Redshift, Observation; Detection, Gamma-ray, X-ray, Timing; Detection, Localization, Optical, Infrared, Spectroscopy, Redshift, Host Galaxy, Observation; Detection, Localization, Gamma-ray, Spectroscopy, Timing, Observation; Detection, Gamma-ray, Timing; Detection, Localization, X-ray, Spectroscopy, Observation"
GRB 260527,,Fermi/GBM,,,,44715.0,2026-05-27,22:19:57,44715.0,,,,,44715,,,,"Detection, Upper Limit, Observation"
GRB 260526A,,Fermi/GBM,40.1,43.9,3.8,44707.0,2026-05-26,23:04:00,44707.0,,,,L?,44707,,,,"Detection, Localization, Gamma-ray"
GRB 260525A,,"AstroSat/CZTI, Fermi/GBM",125.2,-44.5,6.3,44703.0,2026-05-25,23:33:42,44703.0,,,,"L, L?","44711, 44703",20-200 keV,,,"Detection, Gamma-ray, Timing; Detection, Localization, Gamma-ray"
GRB 260524A,,SVOM/ECLAIRs,115.192,-55.287,0.1683333333333333,44714.0,2026-05-24,12:01:52,44714.0,,,,,44714,4-20 keV,,,"Detection, Localization, Gamma-ray, X-ray, Spectroscopy, Timing, Observation"
GRB 260523B,,"AstroSat/CZTI, Fermi/GBM",34.1,-63.1,3.1,44699.0,2026-05-23,19:26:02,44699.0,,,,"S, S?","44702, 44699",20-200 keV,,,"Detection, Gamma-ray, Timing; Detection, Localization, Gamma-ray"
GRB 260523A,,Fermi/GBM,315.6,-6.8,5.5,44698.0,2026-05-23,16:06:10,44698.0,,,,L?,44698,,,,"Detection, Localization, Gamma-ray"
GRB 260522B,,"NuSTAR, Fermi/GBM",278.65,-33.23,1.0,44694.0,2026-05-22,09:35:00.130000,44696.0,,,,"L, L?","44696, 44694",,,,"Detection, Localization, Gamma-ray, Timing; Detection, Localization, Gamma-ray"
GRB 260522A,,"Fermi/GBM, Fermi/LAT",346.67,9.66,0.55,44689.0,2026-05-22,02:15:08,44687.0,1.8,,44697.0,S?,"44697, 44687, 44689",10-1000 keV,,,"Detection, Localization, Gamma-ray, Spectroscopy, Timing, Observation; Detection, Localization, Gamma-ray; Detection, Gamma-ray, Observation"
GRB 260522,,Fermi/GBM,,,,44692.0,2026-05-22,09:37:04,44692.0,,,,,44692,,,,"Detection, Upper Limit, Observation"
GRB 260520B,,"Fermi/GBM, SVOM/GRM",346.68,39.68,14.0,44676.0,2026-05-20,09:35:52.730000,44676.0,6.0,7.0,44685.0,L?,"44676, 44685",15-5000 keV,,,"Detection, Localization, Gamma-ray; Detection, Localization, Gamma-ray, Optical, Timing, Observation"
GRB 260520A,,Fermi/GBM,191.01,-34.56,14.0,44674.0,2026-05-20,01:24:47.420000,44674.0,,,,L?,44674,,,,"Detection, Localization, Gamma-ray"
GRB 260519D,,Fermi/GBM,87.37,-6.37,14.0,44673.0,2026-05-19,19:37:23.371000,44673.0,,,,L?,44673,,,,"Detection, Localization, Gamma-ray"
GRB 260519C,,"SVOM/GRM, Konus-Wind, NuSTAR",,,,44688.0,2026-05-19,13:45:36.443000,44677.0,27.0,,44677.0,L,"44688, 44677, 44672",15-5000 keV,,,"Detection, Localization, Gamma-ray, Spectroscopy, Timing, Observation; Detection, Gamma-ray, Spectroscopy, Timing, Upper Limit, Observation; Detection, Gamma-ray, Timing"
GRB 260519B,,Fermi/GBM,85.76,-73.67,17.01,44670.0,2026-05-19,03:37:41.370000,44670.0,,,,L?,44670,,,,"Detection, Localization, Gamma-ray"
GRB 260519A,,Fermi/GBM,273.75,14.25,17.0,44669.0,2026-05-19,10:56:45.510000,44669.0,,,,L?,44669,,,,"Detection, Localization, Gamma-ray"
GRB 260518B,EP260518a,"SVOM/ECLAIRs, EP/WXT",299.034,-48.618,0.0027777777777777,44690.0,2026-05-18,07:53:22,44753.0,,,,,"44753, 44695, 44690",4-20 keV,"2.28, <2.75",,"Detection, Localization, Gamma-ray, X-ray, Optical, Spectroscopy, Timing, Redshift, Observation; Detection, Optical, Spectroscopy, Redshift, Upper Limit, Observation; Detection, Localization, X-ray, Optical, Spectroscopy, Observation"
GRB 260518A,,"Konus-Wind, AstroSat/CZTI",,,,44671.0,2026-05-18,07:44:29.100000,44668.0,18.0,,44671.0,L,"44671, 44668",20-200 keV,,,"Detection, Gamma-ray, Spectroscopy, Timing, Upper Limit, Observation; Detection, Timing"
GRB 260516D,,"SVOM, SVOM/ECLAIRs",233.849,6.373,0.1936666666666666,44649.0,2026-05-16,20:38:28,44649.0,,,,,"44649, 44656, 44650, 44667","5-20 keV, 4-20 keV",1.801,,"Detection, Localization, Gamma-ray; Detection, Optical, Redshift, Observation; Detection, Upper Limit, Observation; Detection, Refined Localization, Gamma-ray, X-ray, Spectroscopy, Timing, Redshift"
GRB 260516C,,Fermi/GBM,172.6,-59.9,3.2,44648.0,2026-05-16,19:34:38,44648.0,,,,L?,44648,,,,"Detection, Localization, Gamma-ray"
GRB 260516B,,Fermi/GBM,161.5,36.8,4.8,44636.0,2026-05-16,05:12:36,44636.0,,,,L?,44636,,,,"Detection, Localization, Gamma-ray"
GRB 260516A,,Fermi/GBM,111.5,-37.6,7.7,44631.0,2026-05-16,02:50:48,44631.0,,,,L?,44631,,,,"Detection, Localization, Gamma-ray"
GRB 260515A,,"SVOM/ECLAIRs, SVOM, Konus-Wind",227.68,24.5706,0.0628333333333333,44622.0,2026-05-15,19:08:19,44622.0,16.6,1.5,44622.0,L,"44666, 44629, 44622, 44647, 44624, 44627, 44645, 44634, 44821","4-120 keV, 5-20 keV, 20-1500 keV","0.764, <4",,"Detection, Refined Localization, Gamma-ray, Spectroscopy, Timing; Detection, Optical, Redshift, Observation; Detection, Localization, Gamma-ray, Timing; Detection, Gamma-ray, Spectroscopy, Timing, Redshift; Detection, Localization, Gamma-ray, Optical, Redshift; Detection, Gamma-ray, Upper Limit, Observation; Detection, Gamma-ray, Optical, Redshift, Observation; Detection, Gamma-ray, Optical, Redshift, Upper Limit, Observation"
GRB 260514A,,Fermi/GBM,231.1,-37.7,10.9,44604.0,2026-05-14,04:56:40,44604.0,,,,L?,44604,,,,"Detection, Localization, Gamma-ray"
GRB 260513A,,Fermi/GBM,320.8,-36.4,2.3,44599.0,2026-05-13,21:24:18,44599.0,,,,L?,44599,,,,"Detection, Localization, Gamma-ray"
GRB 260512A,,"IPN, NuSTAR, Konus-Wind, AstroSat/CZTI, Fermi/GBM",153.6,-82.6,2.0,44587.0,2026-05-12,16:56:43,44611.0,23.0,,44617.0,"L, L?","44611, 44591, 44617, 44608, 44587",20-200 keV,,,"Detection, Localization, Gamma-ray, Spectroscopy, Timing; Detection, Localization, Gamma-ray, Timing; Detection, Gamma-ray, Spectroscopy, Timing, Observation; Detection, Gamma-ray, Timing; Detection, Localization, Gamma-ray"
GRB 260511C,,Fermi/GBM,219.4,39.3,14.9,44553.0,2026-05-11,15:15:49,44553.0,,,,L?,44553,,,,"Detection, Localization, Gamma-ray"
GRB 260511B,,"Konus-Wind, NuSTAR, SVOM, Fermi/GBM, AstroSat/CZTI",192.606,4.094,0.0438333333333333,44543.0,2026-05-11,11:00:31,44543.0,1.0,,44543.0,"L, L?","44597, 44556, 44573, 44543, 44568, 44565, 44542, 44571, 44560, 44554, 44577, 44593, 44576","8-120 keV, 20-200 keV, 10-1000 keV",2.006,,"Detection, Gamma-ray, Spectroscopy, Timing, Redshift, Upper Limit, Observation; Detection, Gamma-ray, Optical, Timing; Detection, Optical, Redshift, Host Galaxy, Observation; Detection, Localization, Gamma-ray, X-ray, Timing; Detection, Gamma-ray, Optical, Redshift; Detection, Gamma-ray, Optical, Spectroscopy, Redshift, Observation; Detection, Localization, Gamma-ray; Detection, Gamma-ray, X-ray, Optical, Spectroscopy, Redshift, Observation; Detection, Gamma-ray, Timing; Detection, Localization, Gamma-ray, Optical, Spectroscopy, Timing; Detection, Gamma-ray, Optical, Redshift, Observation; Detection, Gamma-ray, Optical, Infrared, Redshift, Observation"
GRB 260511A,,"Konus-Wind, Glowbug, GRID, Fermi/GBM, NuSTAR, SVOM",197.929,-33.853,0.0406666666666666,44532.0,2026-05-11,06:13:28.904000,44586.0,11.3,,44586.0,"L, L?","44585, 44586, 44664, 44529, 44548, 44531, 44555, 44538, 44532, 44584","10-1000 keV, 8-120 keV",<4,,"Detection, Localization, Gamma-ray, Spectroscopy, Timing, Upper Limit, Observation; Detection, Gamma-ray, Timing; Detection, Localization, Gamma-ray; Detection, Gamma-ray, Optical, Spectroscopy, Timing; Detection, Localization, Gamma-ray, Spectroscopy; Detection, Gamma-ray, Optical, Timing; Detection, Gamma-ray, Optical, Redshift, Observation; Detection, Localization, Gamma-ray, X-ray, Timing; Detection, Localization, Gamma-ray, Optical, Timing, Observation"
GRB 260510D,,"Glowbug, Fermi/GBM",3.0,37.4,13.9,44523.0,2026-05-10,20:38:07.656000,44581.0,0.13,,44581.0,"S, S?","44581, 44523",,,,"Detection, Gamma-ray, Timing; Detection, Localization, Gamma-ray"
GRB 260510C,,"SVOM, CALET, MAXI/GSC, Fermi/GBM, AstroSat/CZTI, Glowbug",157.9595,2.8711,0.1105,44521.0,2026-05-10,17:13:38,44521.0,150.0,,44521.0,"L?, L","44521, 44616, 44526, 44520, 44544, 44621","8-120 keV, 40-1000 keV, 100-500 keV",,,"Detection, Localization, Gamma-ray, X-ray, Timing; Detection, Localization, Gamma-ray, Timing, Observation; Detection, Localization, X-ray, Upper Limit; Detection, Localization, Gamma-ray; Detection, Gamma-ray, Timing; Detection, Gamma-ray, Timing, Observation"
GRB 260510B,,"Fermi/GBM, SVOM, SVOM/ECLAIRs",173.2168,-34.5756,0.1363333333333333,44515.0,2026-05-10,12:19:15,44524.0,2.22,,44550.0,,"44524, 44515, 44550","8-50 keV, 4-120 keV",,,"Detection, Localization, Gamma-ray, Spectroscopy; Detection, Localization, Gamma-ray; Detection, Refined Localization, Gamma-ray, Spectroscopy, Timing"
